Entity,Code,Year,mf_youth_and_adults__15_64_years__average_years_of_education,ny_gdp_pcap_pp_kd,population_historical,owid_region,time,time,time,time
Macao,MAC,2020,10.97,54916.156,683073,Asia,2020,2023,2020,2020
Malawi,MWI,2020,5.41,1489.6014,19533886,Africa,2020,2023,2020,2020
Malaysia,MYS,2020,11.96,25852.19,33889555,Asia,2020,2023,2020,2020
Maldives,MDV,2020,8.06,13809.354,502127,Asia,2020,2023,2020,2020
Mali,MLI,2020,3.55,2123.8281,21713839,Africa,2020,2023,2020,2020
Malta,MLT,2020,12.09,41753.812,518213,Europe,2020,2023,2020,2020
Mauritania,MRT,2020,5.55,5236.41,4600135,Africa,2020,2023,2020,2020
Mauritius,MUS,2020,10.4,20231.852,1283230,Africa,2020,2023,2020,2020
Mexico,MEX,2020,10.18,18639.662,126799052,North America,2020,2023,2020,2020
Moldova,MDA,2020,10.84,11848.899,3069135,Europe,2020,2023,2020,2020
Mongolia,MNG,2020,10,11666.779,3290788,Asia,2020,2023,2020,2020
Morocco,MAR,2020,6.83,7546.7163,36584208,Africa,2020,2023,2020,2020
Mozambique,MOZ,2020,4.22,1237.946,30783685,Africa,2020,2023,2020,2020
Myanmar,MMR,2020,6.48,4708.5596,53016525,Asia,2020,2023,2020,2020
Namibia,NAM,2020,6.88,9041.77,2728763,Africa,2020,2023,2020,2020
Nepal,NPL,2020,6.19,3761.8027,28966582,Asia,2020,2023,2020,2020
Netherlands,NLD,2020,11.82,54275.004,17636732,Europe,2020,2023,2020,2020
New Zealand,NZL,2020,10.81,42052.14,5069893,Oceania,2020,2023,2020,2020
Nicaragua,NIC,2020,7.76,5230.574,6565267,North America,2020,2023,2020,2020
Niger,NER,2020,3.04,1214.541,23717614,Africa,2020,2023,2020,2020
Norway,NOR,2020,12.08,63776.16,5379274,Europe,2020,2023,2020,2020
Pakistan,PAK,2020,6.41,5004.352,235001743,Asia,2020,2023,2020,2020
Panama,PAN,2020,10.44,26606.295,4293258,North America,2020,2023,2020,2020
Papua New Guinea,PNG,2020,4.84,3741.6616,9815741,Oceania,2020,2023,2020,2020
Paraguay,PRY,2020,8.83,13317.321,6603742,South America,2020,2023,2020,2020
Peru,PER,2020,9.96,11187.344,32838576,South America,2020,2023,2020,2020
Philippines,PHL,2020,9.44,7773.2603,112081271,Asia,2020,2023,2020,2020
Poland,POL,2020,12.01,32546.826,38171005,Europe,2020,2023,2020,2020
Portugal,PRT,2020,9.56,32011.324,10370519,Europe,2020,2023,2020,2020
Qatar,QAT,2020,8.52,89019.07,2803373,Asia,2020,2023,2020,2020
Romania,ROU,2020,11.28,29057.408,19392469,Europe,2020,2023,2020,2020
Russia,RUS,2020,11.6,26586.555,146371293,Europe,2020,2023,2020,2020
Rwanda,RWA,2020,5.24,2066.4717,13065839,Africa,2020,2023,2020,2020
Saudi Arabia,SAU,2020,9.86,44770.91,30991205,Asia,2020,2023,2020,2020
Senegal,SEN,2020,4.4,3384.442,16789215,Africa,2020,2023,2020,2020
Serbia,SRB,2020,11.72,18262.799,6907817,Europe,2020,2023,2020,2020
Sierra Leone,SLE,2020,4.99,1586.355,7912558,Africa,2020,2023,2020,2020
Singapore,SGP,2020,13.06,94910.1,5620150,Asia,2020,2023,2020,2020
Slovakia,SVK,2020,13.14,30960.959,5455028,Europe,2020,2023,2020,2020
Slovenia,SVN,2020,12.06,37155.023,2102419,Europe,2020,2023,2020,2020
South Africa,ZAF,2020,10.47,12866.569,60562374,Africa,2020,2023,2020,2020
South Korea,KOR,2020,13.68,42396.76,51858480,Asia,2020,2023,2020,2020
Spain,ESP,2020,11.51,36051.418,47679482,Europe,2020,2023,2020,2020
Sri Lanka,LKA,2020,10.33,12939.44,22561807,Asia,2020,2023,2020,2020
Sudan,SDN,2020,4.38,3874.8003,46789237,Africa,2020,2023,2020,2020
Sweden,SWE,2020,11.93,51331.28,10353680,Europe,2020,2023,2020,2020
Switzerland,CHE,2020,12.97,67928.195,8640582,Europe,2020,2023,2020,2020
Tajikistan,TJK,2020,10.12,3651.9426,9749310,Asia,2020,2023,2020,2020
Tanzania,TZA,2020,6.87,2552.5469,60972801,Africa,2020,2023,2020,2020
Thailand,THA,2020,9.32,16865.549,71641484,Asia,2020,2023,2020,2020
Togo,TGO,2020,7.68,2058.565,8669722,Africa,2020,2023,2020,2020
Tonga,TON,2020,11.42,6357.07,105719,Oceania,2020,2023,2020,2020
Trinidad and Tobago,TTO,2020,11.28,23392.992,1481026,North America,2020,2023,2020,2020
Tunisia,TUN,2020,9.29,10040.124,11974058,Africa,2020,2023,2020,2020
Turkey,TUR,2020,8.49,28726.191,86091691,Asia,2020,2023,2020,2020
Uganda,UGA,2020,6.69,2240.4902,44457149,Africa,2020,2023,2020,2020
Ukraine,UKR,2020,10.82,12407.79,44680009,Europe,2020,2023,2020,2020
United Arab Emirates,ARE,2020,9.57,67668.29,9448529,Asia,2020,2023,2020,2020
United Kingdom,GBR,2020,12.9,41895.824,67351860,Europe,2020,2023,2020,2020
United States,USA,2020,13.32,60158.91,339436157,North America,2020,2023,2020,2020
Uruguay,URY,2020,8.76,22073.375,3398967,South America,2020,2023,2020,2020
Vietnam,VNM,2020,8.35,10450.621,98079196,Asia,2020,2023,2020,2020
Zambia,ZMB,2020,8.37,3183.651,19059395,Africa,2020,2023,2020,2020
Zimbabwe,ZWE,2020,8.32,1990.3195,15526888,Africa,2020,2023,2020,2020
