year,region,price,id
2015,9.0,1.4299999,UKD
2015,10.0,1.42,UKC
2015,11.0,1.33,UKL
2015,12.0,1.42,UKM
2015,13.0,1.33,UKN
2016,2.0,1.4849999500000002,UKI
2016,3.0,1.4249999500000001,UKJ
2016,4.0,1.4249999500000001,UKK
2016,5.0,1.4299999,UKH
2016,6.0,1.4249999500000001,UKF
2016,7.0,1.4299999,UKG
2016,8.0,1.4249999500000001,UKE
2016,9.0,1.4299999,UKD
2016,10.0,1.4249999500000001,UKC
2016,11.0,1.4299999,UKL
2016,12.0,1.375,UKM
2016,13.0,1.3799999500000002,UKN
