Entity,Code,Year,milexgdp
France,FRA,1872,2.0604146
France,FRA,1873,2.143747
France,FRA,1874,1.8523805
France,FRA,1875,1.8460363
France,FRA,1876,2.2321682
France,FRA,1877,2.1955562
France,FRA,1878,2.1763294
France,FRA,1879,2.1304398
France,FRA,1880,2.3783746
France,FRA,1881,1.9393094
France,FRA,1882,2.3385298
France,FRA,1883,2.8068457
France,FRA,1884,2.4575157
France,FRA,1885,2.4294102
France,FRA,1886,2.8424795
France,FRA,1887,2.235843
France,FRA,1888,2.4134345
France,FRA,1889,2.4141445
France,FRA,1890,2.5349257
France,FRA,1891,2.2071424
France,FRA,1892,2.2455034
France,FRA,1893,2.3833604
France,FRA,1894,2.2474651
France,FRA,1895,2.4860175
France,FRA,1896,2.4073317
France,FRA,1897,2.5826752
France,FRA,1898,2.3970785
France,FRA,1899,2.4795094
France,FRA,1900,2.1583707
France,FRA,1901,2.4705737
France,FRA,1902,1.9940218
France,FRA,1903,2.1909928
France,FRA,1904,2.1790917
France,FRA,1905,2.2621627
France,FRA,1906,2.3049345
France,FRA,1907,2.3652666
France,FRA,1908,2.3711176
France,FRA,1909,2.353088
France,FRA,1910,2.5887725
France,FRA,1911,2.4368262
France,FRA,1912,2.7581475
France,FRA,1913,4.7888527
France,FRA,1914,9.02599
France,FRA,1915,19.445545
France,FRA,1916,29.28859
France,FRA,1917,33.204113
France,FRA,1918,24.548412
France,FRA,1919,5.370516
France,FRA,1920,2.263237
France,FRA,1921,2.165375
France,FRA,1922,1.9787778
France,FRA,1923,1.5942162
France,FRA,1924,1.2451606
France,FRA,1925,1.4000442
France,FRA,1926,1.3205963
France,FRA,1927,1.439833
France,FRA,1928,1.4177814
France,FRA,1929,1.477946
France,FRA,1930,1.7464926
France,FRA,1931,2.1834526
France,FRA,1932,2.4133568
France,FRA,1933,2.4318097
France,FRA,1934,3.8859313
France,FRA,1935,4.5726333
France,FRA,1936,3.4881876
France,FRA,1937,4.0178075
France,FRA,1938,4.653388
France,FRA,1939,6.4784884
France,FRA,1940,9.46101
France,FRA,1941,6.1173873
France,FRA,1942,5.5058613
France,FRA,1944,6.118298
France,FRA,1945,7.1268716
France,FRA,1946,5.1905313
France,FRA,1947,4.3414955
France,FRA,1948,3.3500504
France,FRA,1949,4.032044
France,FRA,1950,3.4344907
France,FRA,1951,3.6658294
France,FRA,1952,2.2155592
France,FRA,1953,4.226613
France,FRA,1954,1.2610993
France,FRA,1955,3.2206488
France,FRA,1956,2.118773
France,FRA,1957,0.9599399
France,FRA,1958,1.8248544
France,FRA,1959,4.0911694
France,FRA,1960,3.6723166
France,FRA,1961,4.153627
France,FRA,1962,4.0183854
France,FRA,1963,3.9675784
France,FRA,1964,3.781547
France,FRA,1965,3.8395405
France,FRA,1966,4.419785
France,FRA,1967,3.7704475
France,FRA,1968,3.1243453
France,FRA,1969,3.3435173
France,FRA,1970,2.9209652
France,FRA,1971,3.3300455
France,FRA,1972,2.8389714
France,FRA,1973,2.9857209
France,FRA,1974,3.190792
France,FRA,1975,3.3660347
France,FRA,1976,3.1216702
France,FRA,1977,3.1138356
France,FRA,1978,3.3836377
France,FRA,1979,3.7065122
France,FRA,1980,4.006489
France,FRA,1981,3.2073247
France,FRA,1982,2.9593904
France,FRA,1983,3.3006105
France,FRA,1984,3.2706196
France,FRA,1985,2.9269862
France,FRA,1986,3.3211887
France,FRA,1987,3.338173
France,FRA,1988,3.2275267
France,FRA,1989,3.4559667
France,FRA,1990,3.280186
France,FRA,1991,3.0666
France,FRA,1992,2.761244
France,FRA,1993,3.06712
France,FRA,1994,3.0750747
France,FRA,1995,3.1950605
France,FRA,1996,2.6705399
France,FRA,1997,2.6153023
France,FRA,1998,2.5226808
France,FRA,1999,2.2710583
France,FRA,2000,1.7948011
France,FRA,2001,1.8858572
France,FRA,2002,2.1117163
France,FRA,2003,2.1851714
France,FRA,2004,2.526299
France,FRA,2005,2.301729
France,FRA,2006,2.4178085
France,FRA,2007,2.5800345
France,FRA,2008,2.3813806
France,FRA,2009,2.2213192
France,FRA,2010,2.1716993
France,FRA,2011,1.8880943
France,FRA,2012,2.1804774
France,FRA,2013,2.1222434
France,FRA,2014,2.0560534
France,FRA,2015,1.8037345
France,FRA,2016,1.8695457
France,FRA,2017,1.913107
France,FRA,2018,2.1422548
France,FRA,2019,1.9636843
Germany,DEU,1816,5.72379
Germany,DEU,1817,7.309252
Germany,DEU,1818,5.5631533
Germany,DEU,1819,9.057738
Germany,DEU,1820,6.419738
Germany,DEU,1821,9.404017
Germany,DEU,1822,5.133607
Germany,DEU,1823,8.151205
Germany,DEU,1824,6.7901254
Germany,DEU,1825,5.6104984
Germany,DEU,1826,4.0956626
Germany,DEU,1827,4.812473
Germany,DEU,1828,7.096608
Germany,DEU,1829,5.0431714
Germany,DEU,1830,6.644713
Germany,DEU,1831,6.118197
Germany,DEU,1832,6.6993
Germany,DEU,1833,7.166186
Germany,DEU,1834,9.640116
Germany,DEU,1835,4.662436
Germany,DEU,1836,8.0746155
Germany,DEU,1837,7.4947314
Germany,DEU,1838,5.683343
Germany,DEU,1839,6.5769444
Germany,DEU,1840,5.484536
Germany,DEU,1841,7.2850356
Germany,DEU,1842,4.518398
Germany,DEU,1843,5.6984835
Germany,DEU,1844,5.4039683
Germany,DEU,1845,5.7257624
Germany,DEU,1846,8.783984
Germany,DEU,1847,10.024508
Germany,DEU,1848,9.453997
Germany,DEU,1849,9.669526
Germany,DEU,1850,7.5672016
Germany,DEU,1851,8.086479
Germany,DEU,1852,6.6643996
Germany,DEU,1853,4.9723496
Germany,DEU,1854,3.773917
Germany,DEU,1855,5.895186
Germany,DEU,1856,7.4972763
Germany,DEU,1857,8.190937
Germany,DEU,1858,5.360155
Germany,DEU,1859,8.903261
Germany,DEU,1860,6.061658
Germany,DEU,1861,5.062657
Germany,DEU,1862,5.5685496
Germany,DEU,1863,10.266811
Germany,DEU,1864,7.096242
Germany,DEU,1865,5.2589602
Germany,DEU,1866,5.852315
Germany,DEU,1867,7.9132967
Germany,DEU,1868,6.167735
Germany,DEU,1869,11.836449
Germany,DEU,1870,11.249499
Germany,DEU,1871,13.87522
Germany,DEU,1872,14.072527
Germany,DEU,1873,13.712811
Germany,DEU,1874,6.923424
Germany,DEU,1875,7.262634
Germany,DEU,1876,9.937616
Germany,DEU,1877,12.731257
Germany,DEU,1878,9.6451645
Germany,DEU,1879,15.580392
Germany,DEU,1880,9.4754095
Germany,DEU,1881,11.830743
Germany,DEU,1882,9.865605
Germany,DEU,1883,14.305824
Germany,DEU,1884,11.632801
Germany,DEU,1885,12.360498
Germany,DEU,1886,12.019984
Germany,DEU,1887,10.849075
Germany,DEU,1888,18.409412
Germany,DEU,1889,14.904615
Germany,DEU,1890,17.26506
Germany,DEU,1891,17.436789
Germany,DEU,1892,10.643738
Germany,DEU,1893,10.0487
Germany,DEU,1894,7.662286
Germany,DEU,1895,11.328177
Germany,DEU,1896,14.729238
Germany,DEU,1897,16.399172
Germany,DEU,1898,10.838914
Germany,DEU,1899,16.110182
Germany,DEU,1900,14.858397
Germany,DEU,1901,14.140065
Germany,DEU,1902,15.6487255
Germany,DEU,1903,10.618306
Germany,DEU,1904,11.594103
Germany,DEU,1905,10.606003
Germany,DEU,1906,12.847831
Germany,DEU,1907,11.114272
Germany,DEU,1908,15.184816
Germany,DEU,1909,12.152102
Germany,DEU,1910,17.224327
Germany,DEU,1911,15.59076
Germany,DEU,1912,8.564585
Germany,DEU,1913,24.645771
Germany,DEU,1914,32.405926
Germany,DEU,1915,42.346325
Germany,DEU,1916,42.91701
Germany,DEU,1917,41.679733
Germany,DEU,1918,30.341513
Germany,DEU,1919,11.215324
Germany,DEU,1920,8.860848
Germany,DEU,1921,3.3227928
