year,region,price,id
2010,2.0,0.58999997,UKI
2010,3.0,0.625,UKJ
2010,4.0,0.68000001,UKK
2010,5.0,0.60000002,UKH
2010,6.0,0.60000002,UKF
2010,7.0,0.574999985,UKG
2010,8.0,0.58999997,UKE
2010,9.0,0.60000002,UKD
2010,10.0,0.5,UKC
2010,11.0,0.49500000499999997,UKL
2010,12.0,0.69,UKM
2010,13.0,0.60000002,UKN
2011,2.0,0.60000002,UKI
2011,3.0,0.64999998,UKJ
2011,4.0,0.60000002,UKK
2011,5.0,0.64999998,UKH
2011,6.0,0.60000002,UKF
2011,7.0,0.60000002,UKG
2011,8.0,0.51999998,UKE
2011,9.0,0.64999998,UKD
2011,10.0,0.5,UKC
2011,11.0,0.50999999,UKL
2011,12.0,0.60000002,UKM
2011,13.0,0.60000002,UKN
2012,2.0,0.60000002,UKI
2012,3.0,0.69,UKJ
2012,4.0,0.63999999,UKK
2012,5.0,0.64999998,UKH
2012,6.0,0.60000002,UKF
2012,7.0,0.51999998,UKG
2012,8.0,0.51999998,UKE
2012,9.0,0.64999998,UKD
2012,10.0,0.50999999,UKC
2012,11.0,0.50999999,UKL
2012,12.0,0.58999997,UKM
2012,13.0,0.60000002,UKN
2013,2.0,0.58999997,UKI
2013,3.0,0.64999998,UKJ
2013,4.0,0.64999998,UKK
2013,5.0,0.64999998,UKH
2013,6.0,0.64999998,UKF
2013,7.0,0.58999997,UKG
2013,8.0,0.58999997,UKE
2013,9.0,0.66999999,UKD
2013,10.0,0.50999999,UKC
2013,11.0,0.50999999,UKL
2013,12.0,0.58999997,UKM
2013,13.0,0.53999999,UKN
2014,2.0,0.64999998,UKI
2014,3.0,0.64999998,UKJ
2014,4.0,0.60000002,UKK
2014,5.0,0.64999998,UKH
2014,6.0,0.60000002,UKF
2014,7.0,0.55000001,UKG
2014,8.0,0.60000002,UKE
2014,9.0,0.64999998,UKD
2014,10.0,0.50999999,UKC
2014,11.0,0.60000002,UKL
2014,12.0,0.64999998,UKM
2014,13.0,0.60000002,UKN
2015,2.0,0.60000002,UKI
2015,3.0,0.64999998,UKJ
2015,4.0,0.60000002,UKK
2015,5.0,0.60000002,UKH
2015,6.0,0.60000002,UKF
2015,7.0,0.55000001,UKG
2015,8.0,0.64999998,UKE
2015,9.0,0.60000002,UKD
2015,10.0,0.50999999,UKC
2015,11.0,0.60000002,UKL
2015,12.0,0.60000002,UKM
2015,13.0,0.56999999,UKN
2016,2.0,0.64999998,UKI
2016,3.0,0.64999998,UKJ
2016,4.0,0.60000002,UKK
2016,5.0,0.60000002,UKH
2016,6.0,0.55000001,UKF
2016,7.0,0.55000001,UKG
2016,8.0,0.60000002,UKE
2016,9.0,0.60000002,UKD
2016,10.0,0.55000001,UKC
2016,11.0,0.60000002,UKL
2016,12.0,0.64999998,UKM
2016,13.0,0.56999999,UKN
2017,2.0,0.60000002,UKI
2017,3.0,0.60000002,UKJ
2017,4.0,0.60000002,UKK
2017,5.0,0.51999998,UKH
2017,6.0,0.55000001,UKF
2017,7.0,0.55000001,UKG
2017,8.0,0.55000001,UKE
2017,9.0,0.56,UKD
2017,10.0,0.51999998,UKC
2017,11.0,0.55000001,UKL
2017,12.0,0.58999997,UKM
2017,13.0,0.56999999,UKN
2018,2.0,0.60000002,UKI
2018,3.0,0.60000002,UKJ
2018,4.0,0.58999997,UKK
2018,5.0,0.625,UKH
2018,6.0,0.60000002,UKF
2018,7.0,0.60000002,UKG
2018,8.0,0.69,UKE
