Entity,Code,Year,mean,990171-annotations,"GDP per capita, PPP (constant 2011 international $)",population_historical,owid_region,time,time,time,time
Myanmar,MMR,2022,6.290593,,5591.5968799618,53756790,Asia,2022,2023,2017,2017
Nepal,NPL,2022,6.5832334,,2442.80394231834,29715434,Asia,2022,2023,2017,2022
Netherlands,NLD,2022,53.94587,,48472.5445411531,17904422,Europe,2022,2023,2017,2017
Niger,NER,2022,2.868364,,926.000141959658,25311977,Africa,2022,2023,2017,2018
Nigeria,NGA,2022,2.798454,,5338.45412665139,223150906,Africa,2022,2023,2017,2018
North Macedonia,MKD,2022,11.7255745,,13111.2135744255,1840236,Europe,2022,2023,2017,2017
Norway,NOR,2022,69.2407,,64800.0573263061,5456795,Europe,2022,2023,2017,2017
Pakistan,PAK,2022,4.628182,,5034.70775633353,243700667,Asia,2022,2023,2017,2018
Panama,PAN,2022,24.569002,,22267.0368216362,4400772,North America,2022,2023,2017,2017
Paraguay,PRY,2022,17.685398,,8827.01005811482,6760461,South America,2022,2023,2017,2017
Peru,PER,2022,13.1154585,,12236.7061519677,33475435,South America,2022,2023,2017,2017
Philippines,PHL,2022,6.344004,,7599.18806040387,113964342,Asia,2022,2023,2017,2018
Poland,POL,2022,27.822508,,27216.4448774425,38385734,Europe,2022,2023,2017,2017
Portugal,PRT,2022,28.264965,,27936.8960928735,10417075,Europe,2022,2023,2017,2017
Qatar,QAT,2022,75.548676,,116935.600359799,2892465,Asia,2022,2023,2017,2017
Romania,ROU,2022,16.300129,,23313.1993431851,19166776,Europe,2022,2023,2017,2017
Russia,RUS,2022,19.673279,,24765.9536336261,145579890,Europe,2022,2023,2017,2017
Sao Tome and Principe,STP,2022,3.9583573,,3052.71374319686,226313,Africa,2022,2023,2017,2017
Senegal,SEN,2022,5.5390716,,2470.57958207519,17651099,Africa,2022,2023,2017,2018
Serbia,SRB,2022,12.202908,,14048.8806366748,6791218,Europe,2022,2023,2017,2017
Seychelles,SYC,2022,20.327288,,26382.2873463186,125532,Africa,2022,2023,2017,2018
Sierra Leone,SLE,2022,2.7525952,,1390.30026748482,8276808,Africa,2022,2023,2017,2018
Slovakia,SVK,2022,23.76167,,30155.1521229863,5473194,Europe,2022,2023,2017,2017
Slovenia,SVN,2022,35.772247,,31400.8395120955,2115230,Europe,2022,2023,2017,2017
South Korea,KOR,2022,50.779594,,35938.3742161469,51782514,Asia,2022,2023,2017,2017
Spain,ESP,2022,37.86951,,34272.3603838191,47828386,Europe,2022,2023,2017,2017
Suriname,SUR,2022,11.599622,,13767.1185111168,623173,South America,2022,2023,2017,2022
Sweden,SWE,2022,55.32348,,46949.2830858792,10487333,Europe,2022,2023,2017,2017
Switzerland,CHE,2022,70.6517,,57410.1658575199,8792180,Europe,2022,2023,2017,2017
Tanzania,TZA,2022,2.7186406,,2683.3040235534,64711821,Africa,2022,2023,2017,2018
Thailand,THA,2022,15.736611,,16277.6711509397,71735320,Asia,2022,2023,2017,2017
Togo,TGO,2022,4.402753,,1429.81342674593,9089742,Africa,2022,2023,2017,2018
Turkey,TUR,2022,21.342648,,25129.3406487777,87058470,Asia,2022,2023,2017,2017
Ukraine,UKR,2022,13.131763,,7894.39292578581,41048767,Europe,2022,2023,2017,2017
United Arab Emirates,ARE,2022,82.96022,,67293.4827590288,10242085,Asia,2022,2023,2017,2018
United Kingdom,GBR,2022,48.39962,,39753.2438934915,68179315,Europe,2022,2023,2017,2017
United States,USA,2022,70.27292,,54225.4461231621,341534041,North America,2022,2023,2017,2017
Uruguay,URY,2022,27.541138,,20551.4094200387,3390913,South America,2022,2023,2017,2017
Uzbekistan,UZB,2022,17.741756,,6253.10386034453,34938955,Asia,2022,2023,2017,2022
Vanuatu,VUT,2022,4.984421,,2921.90867553046,313062,Oceania,2022,2023,2017,2019
Zimbabwe,ZWE,2022,3.9169333,,1899.77497716634,16069061,Africa,2022,2023,2017,2017
